name,slug,brand,sku,price,comparePrice,discountedPrice,currency,inStock,inventoryStatus,quantity,availableForPreOrder,ribbon,productType,weight,url
Ultra Pro Portfolio 9-Pocket Pokemon Scarlet and Violet 9,ultra-pro-portfolio-9-pocket-pokemon-scarlet-and-violet-9,Ultra Pro,,15.99,10.99,10.99,USD,true,in_stock,40,false,,physical,2,https://www.pokene.com/product-page/ultra-pro-portfolio-9-pocket-pokemon-scarlet-and-violet-9
Pokemon Surging Sparks 3-Pack Blister Zapdos or Quadsire,pokemon-surging-sparks-3-pack-blister-zapdos-or-quadsire,,,38,36,36,USD,true,in_stock,0,false,,physical,0,https://www.pokene.com/product-page/pokemon-surging-sparks-3-pack-blister-zapdos-or-quadsire
Chinese Pokemon Terastal Gathering Coin Set - Sylveon,chinese-pokemon-terastal-gathering-coin-set-sylveon,Pokemon,,14.99,13.9,13.9,USD,true,in_stock,39,false,,physical,0.05,https://www.pokene.com/product-page/chinese-pokemon-terastal-gathering-coin-set-sylveon
Pokemon Journey Together Enhanced Booster Box,pokemon-journey-together-sv09-enhanced-booster-box,Pokemon,PKMN-BOX-JT,275,265,265,USD,false,in_stock,0,false,,physical,2,https://www.pokene.com/product-page/pokemon-journey-together-sv09-enhanced-booster-box
Pokemon Center Elite Trainer Box (Exclusive) - Paradox Rift [Roaring Moon],paradox-rift-pokemon-center-elite-trainer-box-exclusive-roaring-moon,Pokemon,,225,0,225,USD,true,in_stock,2,false,,physical,2,https://www.pokene.com/product-page/paradox-rift-pokemon-center-elite-trainer-box-exclusive-roaring-moon
Sealed Case Weiss Schwarz Fujimi Fantasia Bunko Vol 2,sealed-case-weiss-schwarz-fujimi-fantasia-bunko-vol-2,Weiss Schwarz,,1950,1800,1800,USD,true,in_stock,6,false,,physical,1.3,https://www.pokene.com/product-page/sealed-case-weiss-schwarz-fujimi-fantasia-bunko-vol-2
Pokemon 2022 World Championship Deck - Ondrej Skubal,pokemon-2022-world-championship-deck-ondrej-skubal,Pokemon,,28.9,0,28.9,USD,true,in_stock,2,false,,physical,5,https://www.pokene.com/product-page/pokemon-2022-world-championship-deck-ondrej-skubal
Weiss Schwarz Disney Mirrorverse Booster Box Japanese,weiss-schwarz-disney-mirrorverse-booster-box,Weiss Schwarz,MIRRORVERSE-BOX,59.99,35,35,USD,true,in_stock,6,false,,physical,1,https://www.pokene.com/product-page/weiss-schwarz-disney-mirrorverse-booster-box
Pokemon V Battle Deck Zeraora vs Deoxys,pokemon-v-battle-deck-zeraora-vs-deoxys,Pokemon,DEOXVSZERA-DECK,22.99,0,22.99,USD,true,in_stock,2,false,,physical,1,https://www.pokene.com/product-page/pokemon-v-battle-deck-zeraora-vs-deoxys
Pokemon Silver Tempest Booster Box,pokemon-silver-tempest-booster-box,Pokemon,SILVER-TEMPEST-BOX,565,515,515,USD,true,in_stock,7,false,,physical,2,https://www.pokene.com/product-page/pokemon-silver-tempest-booster-box
Pokemon Prismatic Evolutions Elite Trainer Box - ETB,pokemon-prismatic-evolutions-elite-trainer-box-etb,Pokemon,PKMN-ETB-PRIS,195,175,175,USD,true,in_stock,27,false,,physical,1.7,https://www.pokene.com/product-page/pokemon-prismatic-evolutions-elite-trainer-box-etb
